AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled
52,5.427354778721456,282.22244849351574,0,1,1,0,0,0,34.15391515882203,73.5326832683823,0,0,2.8126747736145457,1,0,10,0,0
75,10.956201424934031,821.7151068700525,0,3,1,0,0,2,18.78306383478509,94.21765907893982,21,2,3.163773219720914,6,1,21,0,0
113,18.01225913683401,2035.3852824622431,0,0,1,0,0,2,22.736224131792987,96.5400364603731,43,1,3.2331913772190743,6,0,22,1,0
48,7.907558998775766,379.5628319412368,0,2,0,1,1,2,19.799034459556175,127.66766511757088,45,3,3.058734406491902,2,1,12,0,0
82,19.351769154432393,1586.8450706634562,2,3,1,0,1,1,18.30648165884999,175.401299643233,31,1,1.4907495296596216,3,1,1,1,0
68,11.17914964089835,760.1821755810878,0,2,1,2,0,2,2.0334260233850854,100.15193207846612,0,2,1.0182444934383286,7,0,15,0,0
111,5.070147464545288,562.7863685645269,0,3,0,1,0,3,21.563064978631697,135.21894111433895,36,3,2.148468158941716,7,1,10,1,0
11,9.213191069558818,101.345101765147,2,0,1,2,0,1,26.29433505956619,17.35202764234542,23,3,1.222527563393093,1,0,7,1,1
9,14.135737811188555,127.221640300697,1,3,1,2,1,2,29.542867901610222,77.13199875904154,12,0,2.5207771736988955,5,1,5,0,0
40,14.641298167716808,585.6519267086724,1,3,0,2,0,1,35.50911832087045,148.52023095129923,40,2,1.8353254028202883,8,0,21,0,0
35,5.0314390062963845,176.10036522037345,1,0,1,2,1,0,8.840755810944334,15.614823990396989,38,4,1.797771380338622,7,0,17,0,0
46,13.177143943556558,606.1486214036017,2,0,0,1,1,3,19.44747718496411,79.7299437539243,6,4,3.976484347450505,5,0,16,0,0
72,5.759040152313967,414.6508909666056,1,0,0,0,1,1,13.745595396427746,106.4271333737719,45,4,2.113997415452635,0,1,21,0,0
11,10.654964799441595,117.20461279385756,1,0,1,0,1,3,26.389116488685083,81.90360448297368,3,0,2.800137382572324,5,0,20,1,0
83,15.3395188889942,1273.1800677865183,2,0,1,0,1,1,17.514647935430663,6.297414978653935,39,3,3.6851698871605767,7,0,3,1,0
47,12.981695207835983,610.1396747682912,1,3,0,1,0,0,20.37721962171859,136.97425543806355,0,1,1.3734724413493922,4,1,14,1,1
26,10.935867184576548,284.3325467989902,1,3,1,0,1,1,38.62810292548477,54.30819818232125,10,2,1.5030249611819535,8,1,8,1,0
111,15.547825451714331,1725.8086251402908,1,2,1,1,1,1,27.464263106252105,143.25824920366344,40,3,4.451149755587174,8,0,22,1,1
74,18.90041254328886,1398.6305282033754,0,3,1,2,0,2,39.85111254026445,61.35425468443955,41,4,1.3263405857867117,7,1,1,1,1
23,11.2851502186193,259.5584550282439,0,3,1,1,1,3,20.019647236181555,17.814963630656536,45,1,4.759667335432546,1,0,11,1,1
88,5.630281538559125,495.464775393203,1,0,1,0,0,2,34.24258971655813,179.67559549272738,25,2,2.178553944026134,5,1,5,1,0
48,10.994394024806162,527.7309131906958,2,1,1,1,1,0,18.120133149678,29.042416429942147,38,1,4.848626759605187,1,0,8,0,0
78,19.790191625235945,1543.6349467684038,2,3,0,0,1,2,14.170640275099911,166.60321026986597,37,0,3.816709756657238,7,1,16,0,1
66,15.50590558172091,1023.38976839358,0,0,0,0,1,1,28.045546207439056,122.6884499487785,8,4,4.477413559500281,7,0,14,0,1
43,19.854238645844017,853.7322617712928,2,0,1,2,1,0,22.201730962356404,111.08312056528872,30,1,3.944856032553691,0,1,7,0,0
