AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,DeviceRegistered,ViewingHoursPerWeek,ContentDownloadsPerMonth,UserRating,SupportTicketsPerMonth,WatchlistSize
52,5.427354778721456,282.22244849351574,0,0,34.15391515882203,0,2.8126747736145457,1,10
75,10.956201424934031,821.7151068700525,0,2,18.78306383478509,21,3.163773219720914,6,21
113,18.01225913683401,2035.3852824622431,0,2,22.736224131792987,43,3.2331913772190743,6,22
48,7.907558998775766,379.5628319412368,0,2,19.799034459556175,45,3.058734406491902,2,12
82,19.351769154432393,1586.8450706634562,2,1,18.30648165884999,31,1.4907495296596216,3,1
68,11.17914964089835,760.1821755810878,0,2,2.0334260233850854,0,1.0182444934383286,7,15
111,5.070147464545288,562.7863685645269,0,3,21.563064978631697,36,2.148468158941716,7,10
11,9.213191069558818,101.345101765147,2,1,26.29433505956619,23,1.222527563393093,1,7
9,14.135737811188555,127.221640300697,1,2,29.542867901610222,12,2.5207771736988955,5,5
40,14.641298167716808,585.6519267086724,1,1,35.50911832087045,40,1.8353254028202883,8,21
35,5.0314390062963845,176.10036522037345,1,0,8.840755810944334,38,1.797771380338622,7,17
46,13.177143943556558,606.1486214036017,2,3,19.44747718496411,6,3.976484347450505,5,16
72,5.759040152313967,414.6508909666056,1,1,13.745595396427746,45,2.113997415452635,0,21
11,10.654964799441595,117.20461279385756,1,3,26.389116488685083,3,2.800137382572324,5,20
83,15.3395188889942,1273.1800677865183,2,1,17.514647935430663,39,3.6851698871605767,7,3
47,12.981695207835983,610.1396747682912,1,0,20.37721962171859,0,1.3734724413493922,4,14
26,10.935867184576548,284.3325467989902,1,1,38.62810292548477,10,1.5030249611819535,8,8
111,15.547825451714331,1725.8086251402908,1,1,27.464263106252105,40,4.451149755587174,8,22
74,18.90041254328886,1398.6305282033754,0,2,39.85111254026445,41,1.3263405857867117,7,1
23,11.2851502186193,259.5584550282439,0,3,20.019647236181555,45,4.759667335432546,1,11
88,5.630281538559125,495.464775393203,1,2,34.24258971655813,25,2.178553944026134,5,5
48,10.994394024806162,527.7309131906958,2,0,18.120133149678,38,4.848626759605187,1,8
78,19.790191625235945,1543.6349467684038,2,2,14.170640275099911,37,3.816709756657238,7,16
66,15.50590558172091,1023.38976839358,0,1,28.045546207439056,8,4.477413559500281,7,14
43,19.854238645844017,853.7322617712928,2,0,22.201730962356404,30,3.944856032553691,0,7
16,7.16128271632973,114.58052346127567,1,3,19.719681383199337,46,3.829679916624092,9,18
45,17.440968649834275,784.8435892425424,1,3,24.81833690736614,8,2.1581836646759323,3,13
112,6.788905852937609,760.3574555290122,2,1,13.276037905863404,37,1.8451508805828576,8,15
72,19.144629013103614,1378.4132889434604,1,0,24.83489631852757,27,4.749817614019067,4,0
21,9.874200232532218,207.35820488317657,1,2,28.57206440080964,30,1.970291087898706,4,13
98,14.08245604768642,1380.0806926732691,1,0,39.171059244394854,11,4.8385624588116665,4,15
84,14.668714681406732,1232.172033238165,0,1,30.75586407663176,35,2.10510981427659,1,0
27,13.877915295338113,374.703712974129,2,3,3.998578766241232,10,4.685932791210601,3,2
81,5.227033025868514,423.3896750953496,0,0,16.06073751282563,32,4.307887790673529,5,15
15,13.0538297475218,195.807446212827,2,1,20.991835725807448,24,4.825053753020391,1,12
14,14.043683764564967,196.61157270390953,2,0,31.363337215861034,32,4.776119620200282,5,10
101,9.029530017614547,911.9825317790692,2,0,11.111328845337605,32,2.548674267882911,3,18
23,18.250824299669524,419.76895889239904,2,3,27.5617487871648,5,4.444417871133087,9,23
48,11.085731121686685,532.1150938409609,0,0,33.64816376136793,48,1.0074178295997611,9,24
102,11.560461133815828,1179.1670356492143,2,1,16.678561621288384,32,1.8561493685043928,7,22
30,16.504561293011093,495.1368387903328,1,3,14.487086481056854,4,3.4093338491603853,9,23
25,19.195133492264645,479.8783373066161,0,3,2.601748169305991,23,2.779778713422199,7,12
59,17.340362511257396,1023.0813881641864,0,1,29.481544324069656,16,3.858734874307932,1,9
40,15.866969417818389,634.6787767127355,2,1,11.301006667166678,33,1.7371899663672354,9,13
64,14.84603521299627,950.1462536317612,1,1,12.262449699782575,19,2.5306738294092046,3,23
5,9.493302546229328,47.46651273114664,1,1,15.82305549053752,45,1.6788823578726162,1,3
99,18.85670889889668,1866.814180990771,1,2,31.086686702247807,48,1.838619018015863,2,6
114,16.36136537757921,1865.1956530440305,1,2,35.072457973296636,23,1.1532404952355506,3,20
52,19.75008738943702,1027.004544250725,2,2,36.74675161323526,15,3.544565250413547,0,3
73,6.707427308250841,489.6421935023114,0,1,20.46421650492712,46,1.4667682953144483,9,13
96,5.933602008989944,569.6257928630347,2,2,7.095908271900983,26,3.9155461355337375,7,18
23,8.56863291936571,197.07855714541137,0,1,8.065155892181833,15,3.2008832953340787,5,4
9,13.635632616656055,122.7206935499045,0,2,36.47065714624845,27,4.204664576262685,6,5
22,6.217335828325091,136.781388223152,0,1,31.306050807541855,46,4.034063991182517,3,16
21,18.375293322658905,385.881159775837,1,2,2.957752899074971,42,4.156745679113401,1,3
93,10.0719074381799,936.6873917507309,2,1,37.20471477549182,38,2.3469443099313927,4,1
85,19.314950487522708,1641.7707914394302,0,3,23.343095740812014,46,1.60395778569489,8,2
8,11.003973826011377,88.031790608091,1,1,27.197921059664505,44,3.711644604863096,4,5
6,5.015778174991335,30.09466904994801,0,1,20.593401272277344,0,2.9941740947655444,5,14
40,17.640809720014502,705.6323888005801,1,2,12.840342445010965,20,2.0650731771184296,3,24
19,8.207384802290077,155.94031124351147,0,2,21.59240710806315,4,4.781256116778561,4,22
66,17.419816331191804,1149.707877858659,2,2,39.94723231236047,10,2.683954426502422,1,16
109,13.07408786171499,1425.0755769269338,2,3,13.16819248963045,29,1.24998593702112,9,6
119,13.030413480053465,1550.619204126362,1,3,5.2852903309827735,20,4.697361033844349,6,2
118,8.800690975089712,1038.481535060586,1,3,26.857972584030215,32,3.810613125959095,3,4
112,16.508231977740117,1848.9219815068932,2,3,10.03865478397256,18,1.8841927030968617,5,20
83,15.691243478248962,1302.3732086946638,1,0,38.73464874661937,21,3.393830064298456,3,17
87,6.082664262965022,529.1917908779569,1,2,21.0592402532259,36,4.8170809100268,4,14
